order_id,user_id,product_id,site,order_time,order_status,payment_status,payment_time,order_amount,ingestion_time
O00001,U0003,P001,SG,2026-07-10 07:05:00,COMPLETED,SUCCESS,2026-07-10 07:14:00,861.22,2026-07-10 07:25:00
O00002,U0004,P001,SG,2026-07-14 18:37:00,COMPLETED,SUCCESS,2026-07-14 18:38:00,1033.69,2026-07-14 18:57:00
O00003,U0005,P001,SG,2026-07-11 15:13:00,CREATED,FAILED,2026-07-11 15:19:00,311.43,2026-07-11 15:33:00
O00004,U0008,P001,SG,2026-07-13 03:53:00,COMPLETED,SUCCESS,2026-07-13 03:59:00,834.09,2026-07-13 04:13:00
O00005,U0011,P001,SG,2026-07-13 21:10:00,COMPLETED,SUCCESS,2026-07-13 21:14:00,936.19,2026-07-13 21:30:00
O00006,U0012,P001,SG,2026-07-15 16:46:00,COMPLETED,SUCCESS,2026-07-15 16:54:00,616.4,2026-07-15 17:06:00
O00007,U0013,P001,SG,2026-07-13 11:53:00,COMPLETED,SUCCESS,2026-07-13 11:54:00,450.95,2026-07-13 12:13:00
O00008,U0014,P001,SG,2026-07-10 16:13:00,CREATED,FAILED,2026-07-10 16:23:00,1163.0,2026-07-10 16:33:00
O00009,U0015,P001,SG,2026-07-16 20:29:00,COMPLETED,SUCCESS,2026-07-16 20:32:00,470.29,2026-07-16 20:49:00
O00010,U0017,P001,SG,2026-07-12 08:08:00,COMPLETED,SUCCESS,2026-07-12 08:10:00,1030.36,2026-07-12 08:28:00
O00011,U0018,P001,SG,2026-07-17 06:27:00,COMPLETED,SUCCESS,2026-07-17 06:34:00,618.78,2026-07-17 06:47:00
O00012,U0020,P001,SG,2026-07-15 17:48:00,COMPLETED,SUCCESS,2026-07-15 17:54:00,321.71,2026-07-15 18:08:00
O00013,U0021,P001,SG,2026-07-17 16:56:00,COMPLETED,SUCCESS,2026-07-17 17:05:00,1037.16,2026-07-17 17:16:00
O00014,U0023,P001,SG,2026-07-12 02:09:00,COMPLETED,SUCCESS,2026-07-12 02:12:00,792.32,2026-07-12 02:29:00
O00015,U0024,P001,SG,2026-07-15 05:01:00,COMPLETED,SUCCESS,2026-07-15 05:07:00,1165.59,2026-07-15 05:21:00
O00016,U0025,P001,SG,2026-07-16 01:05:00,COMPLETED,SUCCESS,2026-07-16 01:13:00,1096.63,2026-07-16 01:25:00
O00017,U0026,P001,SG,2026-07-15 01:35:00,COMPLETED,SUCCESS,2026-07-15 01:44:00,1158.68,2026-07-15 01:55:00
O00018,U0028,P001,SG,2026-07-17 03:41:00,COMPLETED,SUCCESS,2026-07-17 03:50:00,695.63,2026-07-17 04:01:00
O00019,U0029,P001,SG,2026-07-16 06:35:00,COMPLETED,SUCCESS,2026-07-16 06:39:00,206.91,2026-07-16 06:55:00
O00020,U0030,P001,SG,2026-07-10 08:55:00,COMPLETED,SUCCESS,2026-07-10 09:04:00,460.81,2026-07-10 09:15:00
O00021,U0031,P001,SG,2026-07-16 02:36:00,COMPLETED,SUCCESS,2026-07-16 02:44:00,1087.25,2026-07-16 02:56:00
O00022,U0032,P001,SG,2026-07-13 18:27:00,COMPLETED,SUCCESS,2026-07-13 18:28:00,939.7,2026-07-13 18:47:00
O00023,U0033,P001,SG,2026-07-13 14:51:00,COMPLETED,SUCCESS,2026-07-13 14:55:00,409.75,2026-07-13 15:11:00
O00024,U0034,P001,SG,2026-07-12 23:29:00,COMPLETED,SUCCESS,2026-07-12 23:31:00,686.44,2026-07-12 23:49:00
O00025,U0035,P001,SG,2026-07-15 18:53:00,COMPLETED,SUCCESS,2026-07-15 18:55:00,1218.0,2026-07-15 19:13:00
O00026,U0036,P001,SG,2026-07-12 06:55:00,COMPLETED,SUCCESS,2026-07-12 06:56:00,380.1,2026-07-12 07:15:00
O00027,U0038,P001,SG,2026-07-17 19:50:00,COMPLETED,SUCCESS,2026-07-17 19:58:00,369.28,2026-07-17 20:10:00
O00028,U0039,P001,SG,2026-07-15 18:03:00,COMPLETED,SUCCESS,2026-07-15 18:04:00,254.16,2026-07-15 18:23:00
O00029,U0040,P001,SG,2026-07-15 10:05:00,COMPLETED,SUCCESS,2026-07-15 10:07:00,853.54,2026-07-15 10:25:00
O00030,U0042,P001,SG,2026-07-16 14:05:00,COMPLETED,SUCCESS,2026-07-16 14:15:00,820.75,2026-07-16 14:25:00
O00031,U0043,P001,SG,2026-07-17 15:20:00,COMPLETED,SUCCESS,2026-07-17 15:27:00,342.97,2026-07-17 15:40:00
O00032,U0044,P001,SG,2026-07-18 00:59:00,COMPLETED,SUCCESS,2026-07-18 01:07:00,882.28,2026-07-18 01:19:00
O00033,U0045,P001,SG,2026-07-15 09:16:00,COMPLETED,SUCCESS,2026-07-15 09:22:00,1167.95,2026-07-15 09:36:00
O00034,U0046,P002,MY,2026-07-17 19:45:00,COMPLETED,SUCCESS,2026-07-17 19:54:00,207.61,2026-07-17 20:05:00
O00035,U0049,P002,MY,2026-07-14 05:45:00,COMPLETED,SUCCESS,2026-07-14 05:50:00,754.95,2026-07-14 06:05:00
O00036,U0050,P002,MY,2026-07-16 12:53:00,COMPLETED,SUCCESS,2026-07-16 12:54:00,565.91,2026-07-16 13:13:00
O00037,U0051,P002,MY,2026-07-16 17:35:00,COMPLETED,SUCCESS,2026-07-16 17:44:00,209.64,2026-07-16 17:55:00
O00038,U0052,P002,MY,2026-07-15 22:37:00,COMPLETED,SUCCESS,2026-07-15 22:44:00,339.19,2026-07-15 22:57:00
O00039,U0058,P002,MY,2026-07-19 20:59:00,COMPLETED,SUCCESS,2026-07-19 21:06:00,1081.46,2026-07-19 21:19:00
O00040,U0061,P002,MY,2026-07-14 10:14:00,COMPLETED,SUCCESS,2026-07-14 10:18:00,637.31,2026-07-14 10:34:00
O00041,U0063,P002,MY,2026-07-17 17:21:00,CREATED,FAILED,2026-07-17 17:23:00,1163.74,2026-07-17 17:41:00
