reservation_id,user_id,campaign_id,product_id,site,reservation_time,ingestion_time
R00001,U0001,C001,P001,SG,2026-07-07 19:07:00,2026-07-07 19:13:00
R00002,U0002,C001,P001,SG,2026-07-03 14:14:00,2026-07-03 14:27:00
R00003,U0003,C001,P001,SG,2026-07-06 19:05:00,2026-07-06 19:47:00
R00004,U0004,C001,P001,SG,2026-07-06 23:12:00,2026-07-06 23:51:00
R00005,U0005,C001,P001,SG,2026-07-02 16:44:00,2026-07-02 17:16:00
R00006,U0006,C001,P001,SG,2026-07-05 01:06:00,2026-07-05 01:33:00
R00007,U0007,C001,P001,SG,2026-07-07 10:16:00,2026-07-07 10:23:00
R00008,U0008,C001,P001,SG,2026-07-06 17:07:00,2026-07-06 17:36:00
R00009,U0009,C001,P001,SG,2026-07-01 17:02:00,2026-07-01 17:21:00
R00010,U0010,C001,P001,SG,2026-07-01 20:54:00,2026-07-01 21:13:00
R00011,U0011,C001,P001,SG,2026-07-05 01:17:00,2026-07-05 01:51:00
R00012,U0012,C001,P001,SG,2026-07-07 21:04:00,2026-07-07 21:47:00
R00013,U0013,C001,P001,SG,2026-07-07 19:44:00,2026-07-07 20:24:00
R00014,U0014,C001,P001,SG,2026-07-01 08:51:00,2026-07-01 09:16:00
R00015,U0015,C001,P001,SG,2026-07-04 08:13:00,2026-07-04 08:49:00
R00016,U0016,C001,P001,SG,2026-07-06 23:34:00,2026-07-06 23:55:00
R00017,U0017,C001,P001,SG,2026-07-05 13:57:00,2026-07-05 14:39:00
R00018,U0018,C001,P001,SG,2026-07-02 04:09:00,2026-07-02 04:54:00
R00019,U0019,C001,P001,SG,2026-07-05 23:33:00,2026-07-05 23:54:00
R00020,U0020,C001,P001,SG,2026-07-01 02:43:00,2026-07-01 02:55:00
R00021,U0021,C001,P001,SG,2026-07-05 15:10:00,2026-07-05 15:44:00
R00022,U0022,C001,P001,SG,2026-07-06 09:58:00,2026-07-06 10:09:00
R00023,U0023,C001,P001,SG,2026-07-04 04:53:00,2026-07-04 05:38:00
R00024,U0024,C001,P001,SG,2026-07-06 15:58:00,2026-07-06 16:03:00
R00025,U0025,C001,P001,SG,2026-07-04 06:15:00,2026-07-04 06:23:00
R00026,U0026,C001,P001,SG,2026-07-06 16:49:00,2026-07-06 17:02:00
R00027,U0027,C001,P001,SG,2026-07-05 12:13:00,2026-07-05 12:52:00
R00028,U0028,C001,P001,SG,2026-07-03 03:45:00,2026-07-03 04:09:00
R00029,U0029,C001,P001,SG,2026-07-03 15:14:00,2026-07-03 15:23:00
R00030,U0030,C001,P001,SG,2026-07-07 17:03:00,2026-07-07 17:22:00
R00031,U0031,C001,P001,SG,2026-07-06 04:13:00,2026-07-06 04:52:00
R00032,U0032,C001,P001,SG,2026-07-03 00:06:00,2026-07-03 00:17:00
R00033,U0033,C001,P001,SG,2026-07-07 21:06:00,2026-07-07 21:14:00
R00034,U0034,C001,P001,SG,2026-07-06 17:28:00,2026-07-06 17:41:00
R00035,U0035,C001,P001,SG,2026-07-06 20:06:00,2026-07-06 20:14:00
R00036,U0036,C001,P001,SG,2026-07-03 12:10:00,2026-07-03 12:41:00
R00037,U0037,C001,P001,SG,2026-07-01 00:24:00,2026-07-01 00:45:00
R00038,U0038,C001,P001,SG,2026-07-05 20:18:00,2026-07-05 20:50:00
R00039,U0039,C001,P001,SG,2026-07-04 03:13:00,2026-07-04 03:21:00
R00040,U0040,C001,P001,SG,2026-07-06 02:32:00,2026-07-06 03:10:00
R00041,U0041,C001,P001,SG,2026-07-03 12:25:00,2026-07-03 12:37:00
R00042,U0042,C001,P001,SG,2026-07-07 01:15:00,2026-07-07 01:57:00
R00043,U0043,C001,P001,SG,2026-07-04 08:59:00,2026-07-04 09:20:00
R00044,U0044,C001,P001,SG,2026-07-07 21:19:00,2026-07-07 21:53:00
R00045,U0045,C001,P001,SG,2026-07-07 00:06:00,2026-07-07 00:15:00
R00046,U0046,C002,P002,MY,2026-07-04 14:23:00,2026-07-04 14:46:00
R00047,U0047,C002,P002,MY,2026-07-07 21:19:00,2026-07-07 21:30:00
R00048,U0048,C002,P002,MY,2026-07-03 10:16:00,2026-07-03 10:28:00
R00049,U0049,C002,P002,MY,2026-07-07 21:09:00,2026-07-07 21:31:00
R00050,U0050,C002,P002,MY,2026-07-04 16:57:00,2026-07-04 17:05:00
R00051,U0051,C002,P002,MY,2026-07-03 09:40:00,2026-07-03 10:01:00
R00052,U0052,C002,P002,MY,2026-07-02 19:56:00,2026-07-02 20:10:00
R00053,U0053,C002,P002,MY,2026-07-05 06:23:00,2026-07-05 06:30:00
R00054,U0054,C002,P002,MY,2026-07-04 05:43:00,2026-07-04 06:03:00
R00055,U0055,C002,P002,MY,2026-07-05 18:49:00,2026-07-05 19:29:00
R00056,U0056,C002,P002,MY,2026-07-06 08:39:00,2026-07-06 08:53:00
R00057,U0057,C002,P002,MY,2026-07-04 12:55:00,2026-07-04 13:10:00
R00058,U0058,C002,P002,MY,2026-07-03 21:56:00,2026-07-03 22:27:00
R00059,U0059,C002,P002,MY,2026-07-04 15:17:00,2026-07-04 15:32:00
R00060,U0060,C002,P002,MY,2026-07-03 03:24:00,2026-07-03 03:31:00
R00061,U0061,C002,P002,MY,2026-07-04 08:12:00,2026-07-04 08:46:00
R00062,U0062,C002,P002,MY,2026-07-04 23:55:00,2026-07-05 00:04:00
R00063,U0063,C002,P002,MY,2026-07-04 23:22:00,2026-07-04 23:59:00
R00064,U0064,C002,P002,MY,2026-07-04 18:11:00,2026-07-04 18:53:00
R00065,U0065,C002,P002,MY,2026-07-04 19:02:00,2026-07-04 19:13:00
R00066,U0066,C002,P002,MY,2026-07-05 16:46:00,2026-07-05 17:11:00
R00067,U0067,C002,P002,MY,2026-07-02 11:45:00,2026-07-02 12:17:00
R00068,U0068,C002,P002,MY,2026-07-02 17:42:00,2026-07-02 18:08:00
R00069,U0069,C002,P002,MY,2026-07-03 07:46:00,2026-07-03 08:10:00
R00070,U0070,C002,P002,MY,2026-07-04 01:26:00,2026-07-04 01:55:00
R00071,U0071,C002,P002,MY,2026-07-03 20:39:00,2026-07-03 21:20:00
R00072,U0072,C002,P002,MY,2026-07-08 04:38:00,2026-07-08 05:03:00
R00073,U0073,C002,P002,MY,2026-07-03 19:42:00,2026-07-03 19:52:00
R00074,U0074,C002,P002,MY,2026-07-04 12:43:00,2026-07-04 13:07:00
R00075,U0075,C002,P002,MY,2026-07-08 12:54:00,2026-07-08 13:03:00
R00076,U0076,C002,P002,MY,2026-07-04 14:09:00,2026-07-04 14:14:00
R00077,U0077,C002,P002,MY,2026-07-03 03:49:00,2026-07-03 04:21:00
R00078,U0078,C002,P002,MY,2026-07-03 07:29:00,2026-07-03 07:42:00
R00079,U0079,C002,P002,MY,2026-07-07 15:35:00,2026-07-07 16:18:00
R00080,U0080,C002,P002,MY,2026-07-07 20:28:00,2026-07-07 20:43:00
R00081,U0081,C002,P002,MY,2026-07-07 01:28:00,2026-07-07 01:49:00
R00082,U0082,C002,P002,MY,2026-07-08 19:17:00,2026-07-08 19:55:00
R00083,U0083,C002,P002,MY,2026-07-05 13:20:00,2026-07-05 13:59:00
R00084,U0084,C002,P002,MY,2026-07-02 16:26:00,2026-07-02 16:57:00
R00085,U0085,C002,P002,MY,2026-07-08 05:44:00,2026-07-08 05:50:00
R00086,U0086,C002,P002,MY,2026-07-08 03:24:00,2026-07-08 03:59:00
R00087,U0087,C002,P002,MY,2026-07-07 19:51:00,2026-07-07 20:34:00
R00088,U0088,C002,P002,MY,2026-07-07 04:14:00,2026-07-07 04:36:00
R00089,U0089,C002,P002,MY,2026-07-06 23:58:00,2026-07-07 00:11:00
R00090,U0090,C002,P002,MY,2026-07-07 16:01:00,2026-07-07 16:31:00
R00091,U0091,C003,P003,SG,2026-07-08 06:05:00,2026-07-08 06:37:00
R00092,U0092,C003,P003,SG,2026-07-12 20:20:00,2026-07-12 20:46:00
R00093,U0093,C003,P003,SG,2026-07-12 01:17:00,2026-07-12 01:48:00
