user_id,campaign_id,campaign_name,product_id,product_name,product_category,site,reservation_time,order_id,order_time,payment_status,payment_time,order_amount,reserve_flag,order_flag,paid_flag,reserved_not_paid_flag,partition_date
U0003,C001,SG Smartphone Launch,P001,Smartphone Pro,Smartphone,SG,2026-07-06 19:05:00,O00001,2026-07-10 07:05:00,SUCCESS,2026-07-10 07:14:00,861.22,1,1,1,0,2026-07-06
U0030,C001,SG Smartphone Launch,P001,Smartphone Pro,Smartphone,SG,2026-07-07 17:03:00,O00020,2026-07-10 08:55:00,SUCCESS,2026-07-10 09:04:00,460.81,1,1,1,0,2026-07-07
U0014,C001,SG Smartphone Launch,P001,Smartphone Pro,Smartphone,SG,2026-07-01 08:51:00,O00008,2026-07-10 16:13:00,FAILED,2026-07-10 16:23:00,1163.0,1,1,0,1,2026-07-01
U0005,C001,SG Smartphone Launch,P001,Smartphone Pro,Smartphone,SG,2026-07-02 16:44:00,O00003,2026-07-11 15:13:00,FAILED,2026-07-11 15:19:00,311.43,1,1,0,1,2026-07-02
U0023,C001,SG Smartphone Launch,P001,Smartphone Pro,Smartphone,SG,2026-07-04 04:53:00,O00014,2026-07-12 02:09:00,SUCCESS,2026-07-12 02:12:00,792.32,1,1,1,0,2026-07-04
U0036,C001,SG Smartphone Launch,P001,Smartphone Pro,Smartphone,SG,2026-07-03 12:10:00,O00026,2026-07-12 06:55:00,SUCCESS,2026-07-12 06:56:00,380.1,1,1,1,0,2026-07-03
U0088,C002,MY Smart Home Launch,P002,Robot Vacuum X20,Smart Home,MY,2026-07-07 04:14:00,O00056,2026-07-12 07:24:00,SUCCESS,2026-07-12 07:31:00,995.6,1,1,1,0,2026-07-07
U0017,C001,SG Smartphone Launch,P001,Smartphone Pro,Smartphone,SG,2026-07-05 13:57:00,O00010,2026-07-12 08:08:00,SUCCESS,2026-07-12 08:10:00,1030.36,1,1,1,0,2026-07-05
U0034,C001,SG Smartphone Launch,P001,Smartphone Pro,Smartphone,SG,2026-07-06 17:28:00,O00024,2026-07-12 23:29:00,SUCCESS,2026-07-12 23:31:00,686.44,1,1,1,0,2026-07-06
U0008,C001,SG Smartphone Launch,P001,Smartphone Pro,Smartphone,SG,2026-07-06 17:07:00,O00004,2026-07-13 03:53:00,SUCCESS,2026-07-13 03:59:00,834.09,1,1,1,0,2026-07-06
U0013,C001,SG Smartphone Launch,P001,Smartphone Pro,Smartphone,SG,2026-07-07 19:44:00,O00007,2026-07-13 11:53:00,SUCCESS,2026-07-13 11:54:00,450.95,1,1,1,0,2026-07-07
U0083,C002,MY Smart Home Launch,P002,Robot Vacuum X20,Smart Home,MY,2026-07-05 13:20:00,O00053,2026-07-13 14:14:00,SUCCESS,2026-07-13 14:17:00,976.06,1,1,1,0,2026-07-05
U0033,C001,SG Smartphone Launch,P001,Smartphone Pro,Smartphone,SG,2026-07-07 21:06:00,O00023,2026-07-13 14:51:00,SUCCESS,2026-07-13 14:55:00,409.75,1,1,1,0,2026-07-07
U0032,C001,SG Smartphone Launch,P001,Smartphone Pro,Smartphone,SG,2026-07-03 00:06:00,O00022,2026-07-13 18:27:00,SUCCESS,2026-07-13 18:28:00,939.7,1,1,1,0,2026-07-03
U0011,C001,SG Smartphone Launch,P001,Smartphone Pro,Smartphone,SG,2026-07-05 01:17:00,O00005,2026-07-13 21:10:00,SUCCESS,2026-07-13 21:14:00,936.19,1,1,1,0,2026-07-05
U0074,C002,MY Smart Home Launch,P002,Robot Vacuum X20,Smart Home,MY,2026-07-04 12:43:00,O00048,2026-07-14 02:09:00,SUCCESS,2026-07-14 02:13:00,1281.33,1,1,1,0,2026-07-04
U0049,C002,MY Smart Home Launch,P002,Robot Vacuum X20,Smart Home,MY,2026-07-07 21:09:00,O00035,2026-07-14 05:45:00,SUCCESS,2026-07-14 05:50:00,754.95,1,1,1,0,2026-07-07
U0061,C002,MY Smart Home Launch,P002,Robot Vacuum X20,Smart Home,MY,2026-07-04 08:12:00,O00040,2026-07-14 10:14:00,SUCCESS,2026-07-14 10:18:00,637.31,1,1,1,0,2026-07-04
U0082,C002,MY Smart Home Launch,P002,Robot Vacuum X20,Smart Home,MY,2026-07-08 19:17:00,O00052,2026-07-14 13:17:00,SUCCESS,2026-07-14 13:22:00,456.94,1,1,1,0,2026-07-08
U0004,C001,SG Smartphone Launch,P001,Smartphone Pro,Smartphone,SG,2026-07-06 23:12:00,O00002,2026-07-14 18:37:00,SUCCESS,2026-07-14 18:38:00,1033.69,1,1,1,0,2026-07-06
U0026,C001,SG Smartphone Launch,P001,Smartphone Pro,Smartphone,SG,2026-07-06 16:49:00,O00017,2026-07-15 01:35:00,SUCCESS,2026-07-15 01:44:00,1158.68,1,1,1,0,2026-07-06
U0024,C001,SG Smartphone Launch,P001,Smartphone Pro,Smartphone,SG,2026-07-06 15:58:00,O00015,2026-07-15 05:01:00,SUCCESS,2026-07-15 05:07:00,1165.59,1,1,1,0,2026-07-06
U0045,C001,SG Smartphone Launch,P001,Smartphone Pro,Smartphone,SG,2026-07-07 00:06:00,O00033,2026-07-15 09:16:00,SUCCESS,2026-07-15 09:22:00,1167.95,1,1,1,0,2026-07-07
